time,x,y,z,Rx,Ry,Rz
0.555,0,0,-0.078639734,-2.141426235,-13.91928793,0.585424709
0.5625,0,0,-0.076859527,-2.023747554,-13.91961964,-0.314499142
0.57,0,0,-0.07445058,-1.874607318,-13.85295273,-1.23712643
0.5775,0,0,-0.071465378,-1.691119546,-13.72912646,-2.188438972
0.585,0,0,-0.067963268,-1.47259088,-13.55660937,-3.169515201
0.5925,0,0,-0.064011082,-1.222221909,-13.34140733,-4.174698573
0.6,0,0,-0.059679935,-0.947745155,-13.08894462,-5.19319354
0.6075,0,0,-0.055031406,-0.659793801,-12.80483826,-6.212557766
0.615,0,0,-0.05014256,-0.367614231,-12.49635994,-7.218055817
0.6225,0,0,-0.045092033,-0.077075988,-12.17114356,-8.197039047
0.63,0,0,-0.039959685,0.209095991,-11.83669862,-9.140917774
0.6375,0,0,-0.034824827,0.489263014,-11.49989215,-10.04382435
0.645,0,0,-0.029764929,0.761231864,-11.16677283,-10.89977529
0.6525,0,0,-0.024854652,1.021483376,-10.84298872,-11.70233184
0.66,0,0,-0.020164671,1.265508789,-10.53363173,-12.44564679
0.6675,0,0,-0.015761839,1.489117531,-10.24325147,-13.12478922
0.675,0,0,-0.011706877,1.689705055,-9.976058496,-13.73518967
0.6825,0,0,-0.008053101,1.866436694,-9.735402239,-14.27236382
0.69,0,0,-0.004844473,2.019753457,-9.522820803,-14.73238364
0.6975,0,0,-0.002118236,2.150875503,-9.338133985,-15.1121219
0.705,0,0,9.82462834804351e-05,2.262128926,-9.180567903,-15.40910019
0.7125,0,0,0.001789311,2.357113853,-9.050259804,-15.62181256
0.72,0,0,0.002952662,2.439905373,-8.948784495,-15.75042704
0.7275,0,0,0.003597193,2.513952904,-8.878403153,-15.79783834
0.735,0,0,0.003737419,2.582271907,-8.840347629,-15.76924613
0.7425,0,0,0.00338843,2.64789269,-8.83415596,-15.67084008
0.75,0,0,0.002560575,2.713188805,-8.858388238,-15.50813789
