gait_cycle,time,Z_rot,X_rot,Y_rot,Z
83,0.6225,-8.187625151,-0.075217966,-12.17607592,-0.045170366
84,0.63,-9.125084487,0.212144418,-11.84489769,-0.040090573
85,0.6375,-10.01986231,0.493763111,-11.51215986,-0.035021778
86,0.645,-10.86593314,0.767430307,-11.18390593,-0.030041642
87,0.6525,-11.65682221,1.029612297,-10.86577942,-0.025225107
88,0.66,-12.38664354,1.275785725,-10.56286799,-0.020643081
89,0.6675,-13.05043592,1.501745459,-10.27971697,-0.016362755
90,0.675,-13.64359641,1.70487233,-10.02053313,-0.012445111
91,0.6825,-14.1616181,1.884317057,-9.788662131,-0.008943837
92,0.69,-14.60054694,2.040506003,-9.585638146,-0.005903159
93,0.6975,-14.95724281,2.174644626,-9.41127729,-0.003360703
94,0.705,-15.22921082,2.289044338,-9.264801845,-0.001344085
95,0.7125,-15.41494358,2.387290458,-9.146344879,0.00013066
96,0.72,-15.51460408,2.473443315,-9.057477119,0.001061107
97,0.7275,-15.53109852,2.550937422,-9.000455329,0.001455984
98,0.735,-15.46963444,2.622773349,-8.976506504,0.001329901
99,0.7425,-15.33642695,2.691966416,-8.985163816,0.000698005
# 100,0.75,-15.1382072,2.761108998,-9.023889245,-0.000427779

