gait_cycle,time,Z_rot,X_rot,Y_rot,Z
0,0,-15.2862504590893,2.77952723381431,-8.91064202086323,0.00125965567243944
1,0.0075,-15.010738065664,2.84708364859763,-8.9873044436812,-0.000512207325197624
2,0.015,-14.6884232696015,2.91465728138742,-9.08330521226896,-0.00275508678007671
3,0.0225,-14.3271671068599,2.97948491588465,-9.19222885652394,-0.005470905137611
4,0.03,-13.9322956518596,3.03727122129549,-9.3075670171458,-0.00866348161323183
5,0.0375,-13.5060647170242,3.08324480221387,-9.42311985139872,-0.0123341468148727
6,0.045,-13.0485394369257,3.11415044936535,-9.53317818997637,-0.0164769870580266
7,0.0525,-12.5600450182363,3.1306388248009,-9.63356304072238,-0.0210734320451387
8,0.06,-12.0436749029212,3.13811784948054,-9.72391565422729,-0.0260848112225094
9,0.0675,-11.5047569548054,3.14647563543846,-9.81001372334878,-0.0314456919032091
10,0.075,-10.9478653643754,3.16796220928232,-9.90513781946394,-0.0370588875854554
11,0.0825,-10.3742936702093,3.21237563240818,-10.0300817890412,-0.0427953955658603
12,0.09,-9.78174097413718,3.28067701743175,-10.2076008614368,-0.0485115665711941
13,0.0975,-9.16527597591386,3.36261032191861,-10.4518464732801,-0.0540818807091966
14,0.105,-8.52080559211799,3.44225396950324,-10.7601463441802,-0.0594156080390886
15,0.1125,-7.84961168660626,3.50798103915481,-11.1157059746564,-0.0644367496277076
16,0.12,-7.15892845812982,3.55812990002182,-11.4974071188118,-0.0690504998159532
17,0.1275,-6.45672461264451,3.59821881088664,-11.8857770042944,-0.0731340621654278
18,0.135,-5.7454839590155,3.63139774876218,-12.2630632838727,-0.0765650781836512
19,0.1425,-5.020590134,3.652339132,-12.6111515,-0.079262072
20,0.15,-4.273200996,3.650786035,-12.91378935,-0.081195167
21,0.1575,-3.49349277,3.618381446,-13.16276401,-0.082364388
22,0.165,-2.675139597,3.553556485,-13.35548927,-0.082769484
23,0.1725,-1.81774382,3.462062911,-13.48966409,-0.08241883
24,0.18,-0.924755422,3.353952447,-13.56209406,-0.081338524
25,0.1875,0.000321475,3.237572455,-13.57258302,-0.079571463
26,0.195,0.956344343,3.114192806,-13.52540455,-0.077173048
27,0.2025,1.942974079,2.977232139,-13.42737784,-0.074204563
28,0.21,2.957164323,2.81719942,-13.28543228,-0.070728761
29,0.2175,3.990734212,2.62802696,-13.10535573,-0.066806515
30,0.225,5.031131656,2.409489053,-12.8921213,-0.06249836
31,0.2325,6.065124448,2.166058482,-12.65069082,-0.057868236
32,0.24,7.081192994,1.904667399,-12.38630411,-0.052985896
33,0.2475,8.069499802,1.632964879,-12.10423872,-0.047926381
34,0.255,9.020729517,1.357934097,-11.80965532,-0.042768963
