-9.71445146547012e-16,-9.71445146547012e-16,-9.71445146547012e-16,-9.99200722162641e-16,-9.71445146547012e-16,-9.29811783123569e-16
-3.91795609844259e-10,-3.91795609844259e-10,-8.18262277380022e-10,1.21005541697805e-09,1.21005544473363e-09,-8.18262221868871e-10
-3.13421984199369e-09,-3.13421984199369e-09,-6.54579701553359e-09,9.68001477585911e-09,9.68001583057099e-09,-6.54579696002244e-09
-1.05771962161105e-08,-1.05771962161105e-08,-2.20904039921477e-08,3.26676009715365e-08,3.26676009715365e-08,-2.20904039227587e-08
-2.50692344105907e-08,-2.50692344105907e-08,-5.23569343990893e-08,7.74261815772448e-08,7.74261815772448e-08,-5.23569330529439e-08
-4.89567221623188e-08,-4.89567221623188e-08,-1.02245810762458e-07,1.51202590600863e-07,1.51202590628619e-07,-1.02245810706947e-07
-8.45832225371268e-08,-8.45832225371268e-08,-1.76651561989427e-07,2.61234956097645e-07,2.612349561254e-07,-1.76651561920038e-07
-1.34288755060386e-07,-1.34288755060386e-07,-2.80461338084126e-07,4.14750528532348e-07,4.14750528560104e-07,-2.80461338014737e-07
-2.00409099454513e-07,-2.00409099454513e-07,-4.18553440226233e-07,6.18963512527548e-07,6.18963512527548e-07,-4.18553440156844e-07
-2.85275076589153e-07,-2.85275076589153e-07,-5.95795849100966e-07,8.81072899291957e-07,8.81072899319713e-07,-5.95795849045455e-07
-3.91211847014517e-07,-3.91211847014517e-07,-8.17044749940044e-07,1.20826030909627e-06,1.20826030909627e-06,-8.17044749884532e-07
-5.20538197684717e-07,-5.20538197684717e-07,-1.08714305858959e-06,1.60768783159793e-06,1.60768783159793e-06,-1.08714305810387e-06
-6.7556583772943e-07,-6.7556583772943e-07,-1.41091896055379e-06,2.08649587396526e-06,2.08649587396526e-06,-1.4109189604844e-06
-8.58598688244228e-07,-8.58598688244228e-07,-1.79318443334353e-06,2.65180101316487e-06,2.65180101316487e-06,-1.79318443331578e-06
-1.07193217639689e-06,-1.07193217639689e-06,-2.23873379126549e-06,3.31069385632599e-06,3.31069385632599e-06,-2.23873379058548e-06
-1.3178525281321e-06,-1.3178525281321e-06,-2.75234221434884e-06,4.0702368976353e-06,4.07023689764918e-06,-2.75234221427945e-06
-1.59863606719046e-06,-1.59863606719046e-06,-3.338764296687e-06,4.93746239611792e-06,4.9374623961318e-06,-3.33876429620128e-06
-1.91654850448253e-06,-1.91654850448253e-06,-4.00273258260864e-06,5.91937024599365e-06,5.91937024603528e-06,-4.002732582567e-06
-2.27384424265897e-06,-2.27384424265897e-06,-4.74895611976556e-06,7.02292586421405e-06,7.02292586528264e-06,-4.74895611968229e-06
-2.67276566963404e-06,-2.67276566963404e-06,-5.58211900694716e-06,8.25505807977578e-06,8.25505807978966e-06,-5.58211900687777e-06
-3.11554246031076e-06,-3.11554246031076e-06,-6.5068789500411e-06,9.62265702787735e-06,9.6226570279051e-06,-6.50687894997171e-06
-3.60439087986053e-06,-3.60439087986053e-06,-7.52786582244869e-06,1.11325720633243e-05,1.11325720633521e-05,-7.52786582239318e-06
-4.14151308648913e-06,-4.14151308648913e-06,-8.64968022576407e-06,1.27916096720887e-05,1.27916096720887e-05,-8.64968022569468e-06
-4.72909644058661e-06,-4.72909644058661e-06,-9.8768920659964e-06,1.4606531394637e-05,1.46065313946508e-05,-9.87689206595477e-06
-5.36931280545327e-06,-5.36931280545327e-06,-1.12140391189397e-05,1.65840517600269e-05,1.65840517600269e-05,-1.12140391188564e-05
-6.06431786702444e-06,-6.06431786702444e-06,-1.26656256173724e-05,1.87308362298577e-05,1.87308362298577e-05,-1.2665625617303e-05
-6.81625044150758e-06,-6.81625044150758e-06,-1.42361208338992e-05,2.10534991496591e-05,2.1053499149673e-05,-1.42361208338299e-05
-7.6272317946352e-06,-7.6272317946352e-06,-1.59299576747984e-05,2.3558601711382e-05,2.35586017114098e-05,-1.5929957674729e-05
-8.49936495533887e-06,-8.49936495533887e-06,-1.77515312782817e-05,2.62526499304611e-05,2.62526499304749e-05,-1.77515312782123e-05
-9.43473404518835e-06,-9.43473404518835e-06,-1.97051976178197e-05,2.91420926281372e-05,2.91420926281372e-05,-1.97051976177642e-05
-1.04354035976306e-05,-1.04354035976306e-05,-2.17952721192904e-05,3.22333194291285e-05,3.22333194291285e-05,-2.17952721181802e-05
-1.15034178881368e-05,-1.15034178881368e-05,-2.40260282758087e-05,3.55326587679616e-05,3.55326587679755e-05,-2.40260282757532e-05
-1.26408002671663e-05,-1.26408002671663e-05,-2.64016962828462e-05,3.90463759159798e-05,3.90463759160076e-05,-2.64016962827768e-05
-1.38495524954069e-05,-1.38495524954069e-05,-2.89264616653573e-05,4.27806710054657e-05,4.27806710054796e-05,-2.89264616653018e-05
-1.51316540823315e-05,-1.51316540823315e-05,-3.16044639302737e-05,4.67416770846968e-05,4.67416770847107e-05,-3.16044639302321e-05
-1.64890616296126e-05,-1.64890616296126e-05,-3.44397952137948e-05,5.09354581689908e-05,5.09354581689908e-05,-3.44397952137532e-05
-1.79237081824879e-05,-1.79237081824879e-05,-3.74364989463999e-05,5.53680073199503e-05,5.5368007319978e-05,-3.74364989463305e-05
-1.94375025766996e-05,-1.94375025766996e-05,-4.05985685208166e-05,6.00452447317851e-05,6.00452447318128e-05,-4.05985685207472e-05
-2.10323288008796e-05,-2.10323288008796e-05,-4.39299459777248e-05,6.49730158261974e-05,6.49730158261974e-05,-4.39299459776554e-05
-2.27100453518286e-05,-2.27100453518286e-05,-4.74345206906146e-05,7.01570893767572e-05,7.01570893767711e-05,-4.7434520690573e-05
-2.44724846057282e-05,-2.44724846057282e-05,-5.11161280705164e-05,7.56031556347347e-05,7.56031556347625e-05,-5.1116128070447e-05
-2.63214521881716e-05,-2.63214521881716e-05,-5.49785482745618e-05,8.13168244751528e-05,8.13168244751528e-05,-5.49785482745202e-05
-2.82587263476658e-05,-2.82587263476658e-05,-5.90255049293109e-05,8.73036235603669e-05,8.73036235603808e-05,-5.9025504928617e-05
-3.02860573416358e-05,-3.02860573416358e-05,-6.32606638623773e-05,9.35689965168018e-05,9.35689965168018e-05,-6.32606638623079e-05
-3.24051668215697e-05,-3.24051668215697e-05,-6.76876318468633e-05,0.000100118301128424,0.000100118301128424,-6.76876318467939e-05
-3.46177472264203e-05,-3.46177472264203e-05,-7.23099553584933e-05,0.000106956807546965,0.000106956807546993,-7.23099553584378e-05
-3.69254611801428e-05,-3.69254611801428e-05,-7.71311193420859e-05,0.00011408969652088,0.00011408969652088,-7.71311193420166e-05
-3.93299409015141e-05,-3.93299409015141e-05,-8.21545459885747e-05,0.000121522057637394,0.000121522057638018,-8.21545459885192e-05
-4.18327876074154e-05,-4.18327876074154e-05,-8.73835935319561e-05,0.000129258887588218,0.000129258887588218,-8.73835935319006e-05
-4.44355709349753e-05,-4.44355709349753e-05,-9.28215550512757e-05,0.000137305088443798,0.000137305088443826,-9.28215550512201e-05
-4.71398283665436e-05,-4.71398283665436e-05,-9.84716572895034e-05,0.000145665465957623,0.000145665465957623,-9.84716572894617e-05
-4.99470646574685e-05,-4.99470646574685e-05,-0.000104337059486106,0.000154344727879605,0.000154344727879632,-0.000104337059484996
-5.28587512727829e-05,-5.28587512727829e-05,-0.000110420852216409,0.000163347482289827,0.000163347482289827,-0.000110420852216353
